GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,crisel.ayala.api.cache.service.impl,PercentageCacheServiceImpl,28,4,0,0,7,1,3,1,3,1
api,crisel.ayala.api.utilities.validation,CustomCacheErrorHandler,27,0,0,0,10,0,6,0,6,0
api,crisel.ayala.api.cache.repository,RedisRepository,97,18,4,0,17,6,10,2,8,2
api,crisel.ayala.api.service.impl,ResponseServiceImpl,6,0,0,0,1,0,1,0,1,0
api,crisel.ayala.api.service.impl,HistoryCallServiceImpl,16,4,0,0,3,1,2,1,2,1
api,crisel.ayala.api.service.impl,MathOperationsServiceImpl,0,41,0,2,0,11,0,4,0,3
api,crisel.ayala.api,ApiApplication,5,3,0,0,2,1,1,1,1,1
api,crisel.ayala.api.cache.repository.impl,PercentageCacheRepositoryImpl,59,4,2,0,15,2,5,1,4,1
api,crisel.ayala.api.controller,MathOperationsController,9,0,0,0,2,0,1,0,1,0
api,crisel.ayala.api.controller,HistoryController,16,0,2,0,4,0,2,0,1,0
api,crisel.ayala.api.configuration,CacheConfig,14,52,0,0,2,18,2,4,2,4
api,crisel.ayala.api.configuration,WebClientConfig,0,44,0,0,0,10,0,4,0,4
api,crisel.ayala.api.configuration,OpenApiConfig,0,24,0,0,0,8,0,3,0,3
api,crisel.ayala.api.configuration,PageableWebFluxConfiguration,0,14,0,0,0,3,0,2,0,2
api,crisel.ayala.api.configuration,WebConfig,0,23,0,0,0,7,0,5,0,5
api,crisel.ayala.api.utilities.interceptor,RequestHistoryHandlerFilter.new ServerHttpResponseDecorator() {...},62,0,2,0,15,0,5,0,4,0
api,crisel.ayala.api.utilities.interceptor,RequestsPerMinuteHandlerFilter,157,4,14,0,29,1,11,1,4,1
api,crisel.ayala.api.utilities.interceptor,RequestHistoryHandlerFilter,334,4,18,0,77,1,22,1,13,1
api,crisel.ayala.api.externalServices.impl,PercentageServiceImpl,2,56,1,5,1,12,1,6,0,4
api,crisel.ayala.api.externalServices.impl,ExternalCallsServiceImpl,92,10,6,0,27,3,5,2,2,2
api,crisel.ayala.api.utilities,logFormat,3,0,0,0,1,0,1,0,1,0
